open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2026-03-23 10:00:00,68334.01,68714.28,68299.82,68551.02,494.85509,2026-03-23 10:59:59.999,33884192.7179699,172107,302.62361,20717092.1677315,0
2026-03-23 11:00:00,68551.02,71499.0,68544.15,70122.15,7050.35572,2026-03-23 11:59:59.999,497532188.0501147,913738,3582.17996,252760939.83489513,0
2026-03-23 12:00:00,70122.15,70877.35,69671.95,70752.15,1915.66623,2026-03-23 12:59:59.999,134656253.9430293,525908,1115.70217,78440938.7115986,0
2026-03-23 13:00:00,70752.14,71587.98,70600.0,71481.13,1712.52184,2026-03-23 13:59:59.999,121717067.7468882,563242,912.92681,64909742.1349556,0
2026-03-23 14:00:00,71481.13,71817.09,71127.14,71446.46,1663.17727,2026-03-23 14:59:59.999,118909727.8088089,485299,775.81507,55469926.0671184,0
2026-03-23 15:00:00,71446.46,71660.01,70103.21,70131.48,2051.70929,2026-03-23 15:59:59.999,145102024.6338804,380522,823.63501,58256071.5605457,0
2026-03-23 16:00:00,70131.48,70753.43,70131.47,70561.54,1367.86918,2026-03-23 16:59:59.999,96293308.7852247,395790,668.43418,47055017.9086344,0
2026-03-23 17:00:00,70561.54,71119.09,70363.63,71085.16,673.70407,2026-03-23 17:59:59.999,47696237.2137471,243080,372.59124,26383598.8048395,0
2026-03-23 18:00:00,71085.16,71195.21,70879.85,71076.22,593.89042,2026-03-23 18:59:59.999,42182922.3566825,191543,299.40421,21269560.1358968,0
2026-03-23 19:00:00,71076.22,71246.01,70649.4,70679.05,615.8582,2026-03-23 19:59:59.999,43704405.6896299,142253,345.03172,24497526.2773321,0
2026-03-23 20:00:00,70679.04,70983.33,70559.03,70915.59,394.04509,2026-03-23 20:59:59.999,27895155.7133032,88010,237.74674,16833322.7704563,0
2026-03-23 21:00:00,70915.59,70998.0,70827.66,70851.35,222.54858,2026-03-23 21:59:59.999,15783456.4016996,61694,111.34205,7896258.6138043,0
2026-03-23 22:00:00,70851.36,70896.76,70520.22,70780.22,279.983,2026-03-23 22:59:59.999,19787285.5635812,106672,124.72015,8815077.4577914,0
2026-03-23 23:00:00,70780.22,70998.0,70404.39,70906.45,368.14332,2026-03-23 23:59:59.999,26029729.7991102,116439,195.79574,13845511.3964569,0
2026-03-24 00:00:00,70906.45,71099.96,70423.36,70679.2,735.8297,2026-03-24 00:59:59.999,52063466.7972113,179012,348.91554,24696127.8710482,0
